CASE_ID,STATE,AGE_BINNED,INCOME_BINNED,STANCE,PEOPLE_TOT_3PLUS,DV7,E2,BB1,BB2,BB3,BTE8,BE10,Co3,BE13,PBC3,PBC5,PBC9,SN4,SN5,attitude,subnorms,pbc,intention
741,4,3.0,5,4,1.0,-1.0,1.0,1.0,0.5,0.5,0.0,-1.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.25,0.0,-0.5,-1.0
742,1,1.0,1,0,1.0,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,0.0,0.0,-0.4375,0.0,-0.3333333333333333,-0.5
743,1,2.0,5,0,1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,-1.0,-1.0,0.0,0.0,0.0,0.625,0.0,-0.6666666666666666,0.0
744,4,4.0,3,3,0.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,-0.5,-0.5,-0.5,0.5,0.5,0.4375,0.5,-0.5,-1.0
745,2,4.0,3,0,0.0,-1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3125,0.5,0.0,-1.0
746,3,3.0,2,5,0.0,-0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.125,0.0,-0.5,-0.5
747,3,1.0,3,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0
748,3,4.0,3,3,0.0,-1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.0,-0.5,-0.5,-1.0,1.0,1.0,0.625,1.0,-0.6666666666666666,-1.0
749,1,2.0,4,6,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-0.5,0.0,-0.5,1.0,-0.5,0.0,0.5,-0.4375,0.25,0.0,-1.0
750,1,1.0,2,0,1.0,-1.0,0.5,0.0,-0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,-1.0
751,1,2.0,4,4,1.0,-0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-0.5
752,4,3.0,3,3,0.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,-0.5,1.0,-0.5,0.5,1.0,0.375,0.75,0.0,-0.5
753,2,4.0,5,3,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,-0.5,0.0,-0.5,0.5,1.0,0.375,0.75,-0.3333333333333333,0.0
754,4,4.0,5,3,0.0,-1.0,0.0,-0.5,-1.0,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,1.0,-0.5,0.5,0.5,-0.5625,0.5,0.0,-1.0
755,3,1.0,1,4,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-0.5,-0.5,0.5,0.5,1.0,0.5,-0.6666666666666666,0.5
756,4,3.0,5,3,1.0,-1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.5,-0.5,0.5,0.5,0.0,0.125,0.25,-0.16666666666666666,-1.0
757,4,3.0,3,2,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,-0.5,0.0,0.5,0.5,0.6875,0.5,-0.16666666666666666,0.0
758,3,1.0,1,3,0.0,-1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.0,0.0,-1.0,-1.0,0.0,0.0,0.5,0.375,0.25,-0.6666666666666666,-1.0
759,3,2.0,3,5,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.5,0.0,-0.5,0.5,0.5,-0.0625,0.5,-0.3333333333333333,-0.5
760,3,3.0,3,4,0.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-1.0,-1.0,0.0,-1.0,0.5,0.5,-0.75,0.5,-0.6666666666666666,-1.0
761,2,3.0,3,1,0.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.0,-1.0
762,1,4.0,3,5,0.0,-1.0,-1.0,0.0,-0.5,0.0,-0.5,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-0.625,0.0,-0.6666666666666666,-1.0
763,2,2.0,2,0,0.0,-1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.5,0.5,0.125,0.5,-1.0,-1.0
764,1,1.0,1,1,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,-0.5,-1.0,0.0,1.0,0.5,0.75,0.75,-0.5,0.0
765,4,2.0,3,3,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0
766,4,3.0,3,3,0.0,-1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,-0.5,0.0,0.0,0.0,0.4375,0.0,-0.16666666666666666,-1.0
767,3,1.0,5,3,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.75,0.3333333333333333,0.5
768,1,1.0,2,3,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.5,0.0,0.0,-0.5,0.0,0.0,0.5,0.0,0.0,0.25,-0.16666666666666666,0.0
769,4,3.0,5,4,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-0.25,0.5,-1.0,1.0
770,1,4.0,3,4,0.0,-0.5,1.0,0.5,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,0.0,0.0,0.5,0.0,0.125,0.25,-0.16666666666666666,-0.5
771,3,2.0,4,5,0.0,-0.5,-1.0,-1.0,-1.0,0.5,0.0,0.5,0.0,0.0,-1.0,0.5,0.0,1.0,0.5,-0.25,0.75,-0.16666666666666666,-0.5
772,1,3.0,2,4,1.0,-1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.5,0.5,0.3125,0.5,-0.3333333333333333,-1.0
773,1,2.0,5,4,1.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,0.0,0.5,0.0,0.5,0.25,-0.3333333333333333,-0.5
774,4,1.0,4,4,1.0,-0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.125,0.0,-0.3333333333333333,-0.5
775,1,3.0,1,4,0.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,-0.5,-0.5,0.0,0.0,0.0,0.4375,0.0,-0.3333333333333333,-0.5
776,3,3.0,1,4,0.0,0.0,1.0,1.0,0.5,1.0,0.5,-0.5,0.5,0.5,-1.0,-1.0,0.5,1.0,0.5,0.5625,0.75,-0.5,0.0
777,3,3.0,5,5,1.0,0.0,-1.0,-1.0,-0.5,-0.5,-1.0,-0.5,0.0,-0.5,-1.0,0.0,0.0,0.5,0.5,-0.625,0.5,-0.3333333333333333,0.0
778,4,2.0,5,0,0.0,-0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.0,-0.5
779,3,1.0,5,3,1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-0.5,-0.5,-1.0,1.0,-0.5,0.5,0.0,-0.5625,0.25,-0.16666666666666666,-0.5
780,3,3.0,3,4,0.0,-1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-0.5,1.0,0.0,0.1875,0.5,-0.16666666666666666,-1.0
781,1,2.0,3,0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.625,0.25,0.0,0.0
782,1,3.0,3,0,0.0,-1.0,0.5,0.0,-0.5,0.0,-1.0,-0.5,0.0,-1.0,-0.5,-0.5,0.0,0.0,0.5,-0.3125,0.25,-0.3333333333333333,-1.0
783,2,1.0,4,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,-0.5,0.0,0.5,0.5,1.0,0.9375,0.75,0.0,0.0
