,timestep,first_agent,agent1_initial_attitude,agent1_final_attitude,second_agent,agent2_initial_attitude,agent2_final_attitude
1678,0,26895,1.0,1.0,26839,-0.5625,-0.5625
1679,0,26609,0.3125,0.3125,26507,0.625,0.6193181818181819
1680,0,26839,-0.5625,-0.5625,26489,0.5625,0.5625
1681,0,26702,0.1875,0.1875,26689,0.375,0.3548076923076923
1682,0,26850,0.2625,0.2625,26702,0.1875,0.2025
1683,0,16933,0.5,0.5,16933,0.5,0.5
1684,0,17093,0.0,0.0,17093,0.0,0.0
1685,0,23747,0.3125,0.3125,23929,0.0,0.0625
1686,0,23786,-0.0625,-0.0625,23786,-0.0625,-0.0625
1687,0,23747,0.3125,0.3125,23747,0.3125,0.3125
1688,0,17603,0.5,0.5,17603,0.5,0.5
1689,0,17785,0.1875,0.1875,17785,0.1875,0.1875
1690,0,77340,0.625,0.625,77463,-0.0625,0.029166666666666688
1691,0,77207,0.4375,0.4375,77207,0.4375,0.4375
1692,0,77340,0.625,0.625,77221,-0.0625,0.029166666666666688
1693,0,77463,0.029166666666666688,0.029166666666666688,77314,-0.375,-0.3543035426731079
1694,0,77316,0.125,0.125,77316,0.125,0.125
1695,0,77207,0.4375,0.4375,77340,0.625,0.6125
1696,0,77316,0.125,0.125,77140,0.4375,0.41964285714285715
1697,0,47169,0.4375,0.4375,47218,0.5,0.49027777777777776
1698,0,47169,0.4375,0.4375,47169,0.4375,0.4375
1699,0,34244,0.1875,0.1875,34303,-0.0625,-0.020192307692307683
1700,0,12255,0.4375,0.4375,12220,0.0625,0.1375
1701,0,10301,0.125,0.125,10301,0.125,0.125
1702,0,69805,0.75,0.75,69752,-0.8125,-0.8125
1703,0,69805,0.75,0.75,69368,0.25,0.35
1704,0,38516,0.3125,0.3125,38934,0.0,0.0625
1705,0,38764,0.1875,0.1875,38999,-0.3125,-0.2894230769230769
1706,0,38764,0.1875,0.1875,38764,0.1875,0.1875
1707,0,47083,0.8125,0.8125,47083,0.8125,0.8125
1708,0,43775,0.0625,0.0625,44010,0.4375,0.4225
1709,0,43962,0.375,0.375,43962,0.375,0.375
1710,0,73044,0.3125,0.3125,73114,0.3125,0.3125
1711,0,33698,0.375,0.375,33408,0.0,0.07500000000000001
1712,0,33698,0.375,0.375,33698,0.375,0.375
1713,0,33408,0.07500000000000001,0.07500000000000001,33687,0.125,0.11608108108108109
1714,0,76574,0.5,0.5,76574,0.5,0.5
1715,0,17920,0.25,0.25,17920,0.25,0.25
1716,0,69562,0.4375,0.4375,69562,0.4375,0.4375
1717,0,26409,0.0625,0.0625,26409,0.0625,0.0625
1718,0,66508,0.9375,0.9375,67093,0.25,0.3875
1719,0,66508,0.9375,0.9375,66508,0.9375,0.9375
1720,0,1480,0.375,0.375,1767,0.9375,0.9375
1721,0,1631,0.6875,0.6875,1504,-0.0625,0.027500000000000024
1722,0,1283,0.0,0.0,1480,0.375,0.35625
1723,0,1382,0.3125,0.3125,1349,0.3125,0.3125
1724,0,1349,0.3125,0.3125,1382,0.3125,0.3125
1725,0,1269,0.0625,0.0625,1704,0.375,0.3541666666666667
1726,0,1349,0.3125,0.3125,1543,0.25,0.2625
1727,0,1767,0.9375,0.9375,1269,0.0625,0.23750000000000002
1728,0,1631,0.6875,0.6875,1283,0.0,0.1375
1729,0,6805,1.0,1.0,6628,0.125,0.125
1730,0,6620,0.25,0.25,6620,0.25,0.25
1731,0,6677,0.25,0.25,6805,1.0,1.0
1732,0,3257,0.3125,0.3125,3257,0.3125,0.3125
1733,0,37152,0.125,0.125,37186,0.0625,0.075
1734,0,13164,0.875,0.875,13024,0.1875,0.325
1735,0,13164,0.875,0.875,13164,0.875,0.875
1736,0,64161,0.9375,0.9375,64161,0.9375,0.9375
1737,0,64050,0.125,0.125,64050,0.125,0.125
1738,0,45675,0.5,0.5,45675,0.5,0.5
1739,0,21731,0.125,0.125,21731,0.125,0.125
1740,0,36666,0.5625,0.5625,36666,0.5625,0.5625
1741,0,48592,0.0,0.0,48358,0.375,0.35625
1742,0,48592,0.0,0.0,48592,0.0,0.0
1743,0,48182,0.75,0.75,48182,0.75,0.75
1744,0,48387,-0.9375,-0.9375,48387,-0.9375,-0.9375
1745,0,63215,-0.8125,-0.8125,63197,0.5625,0.5625
1746,0,63278,0.125,0.125,63150,0.25,0.23214285714285715
1747,0,63235,0.875,0.875,63268,0.3125,0.425
1748,0,63197,0.5625,0.5625,63278,0.125,0.21250000000000002
1749,0,63268,0.425,0.425,63224,0.375,0.385
1750,0,63232,0.75,0.75,63215,-0.8125,-0.8125
1751,0,36951,0.25,0.25,37050,0.5,0.48333333333333334
1752,0,37043,0.375,0.375,36951,0.25,0.275
1753,0,37017,0.125,0.125,37213,0.4375,0.41964285714285715
1754,0,49543,0.4375,0.4375,49681,0.4375,0.4375
1755,0,5588,-0.0625,-0.0625,5851,0.3125,0.2875
1756,0,5691,-0.375,-0.375,6037,0.1875,0.14250000000000002
1757,0,6037,0.14250000000000002,0.14250000000000002,5588,-0.0625,-0.02484169278996865
1758,0,5588,-0.02484169278996865,-0.02484169278996865,5691,-0.375,-0.3538901101356942
1759,0,1272,0.5,0.5,1272,0.5,0.5
1760,0,20311,0.3125,0.3125,20311,0.3125,0.3125
1761,0,59215,0.125,0.125,59215,0.125,0.125
1762,0,59215,0.125,0.125,59142,0.3125,0.2910714285714286
1763,0,59352,0.25,0.25,59352,0.25,0.25
1764,0,16242,0.1875,0.1875,16242,0.1875,0.1875
1765,0,19408,0.375,0.375,19408,0.375,0.375
1766,0,20637,0.625,0.625,20612,0.625,0.625
1767,0,20606,0.125,0.125,20587,0.0,0.025
1768,0,24547,0.125,0.125,24547,0.125,0.125
1769,0,24547,0.125,0.125,24659,0.625,0.625
1770,0,73982,0.3125,0.3125,73999,0.5,0.48295454545454547
1771,0,74100,0.4375,0.4375,73982,0.3125,0.3375
1772,0,73999,0.48295454545454547,0.48295454545454547,74100,0.4375,0.4465909090909091
1773,0,67773,0.1875,0.1875,67773,0.1875,0.1875
1774,0,26337,0.375,0.375,26337,0.375,0.375
1775,0,64451,0.5,0.5,64753,0.5,0.5
1776,0,64382,0.375,0.375,64572,0.125,0.175
1777,0,64753,0.5,0.5,64382,0.375,0.4
1778,0,20333,0.375,0.375,20333,0.375,0.375
1779,0,69612,0.1875,0.1875,69806,-0.4375,-0.4375
1780,0,69353,0.25,0.25,69353,0.25,0.25
1781,0,27080,0.125,0.125,27080,0.125,0.125
1782,0,2159,0.125,0.125,2159,0.125,0.125
1783,0,3567,0.375,0.375,3407,0.1875,0.225
1784,0,3407,0.225,0.225,3410,0.625,0.625
1785,0,33338,0.375,0.375,33457,0.5,0.485
1786,0,33338,0.375,0.375,33338,0.375,0.375
1787,0,71813,0.3125,0.3125,71813,0.3125,0.3125
1788,0,56683,0.3125,0.3125,56683,0.3125,0.3125
1789,0,19327,0.4375,0.4375,19327,0.4375,0.4375
1790,0,79985,0.4375,0.4375,79985,0.4375,0.4375
1791,0,6265,0.5625,0.5625,6265,0.5625,0.5625
1792,0,13892,0.5,0.5,13892,0.5,0.5
1793,0,13246,0.125,0.125,13246,0.125,0.125
1794,0,45826,0.3125,0.3125,45909,-0.5625,-0.5625
1795,0,15017,0.3125,0.3125,15189,0.5,0.48295454545454547
1796,0,15189,0.48295454545454547,0.48295454545454547,15017,0.3125,0.3465909090909091
1797,0,17509,0.125,0.125,17800,0.5,0.48928571428571427
1798,0,17731,0.4375,0.4375,17509,0.125,0.1875
1799,0,41808,0.25,0.25,41808,0.25,0.25
1800,0,26803,0.8125,0.8125,26803,0.8125,0.8125
1801,0,26587,0.3125,0.3125,26587,0.3125,0.3125
1802,0,39154,0.5625,0.5625,38796,0.25,0.3125
1803,0,38381,0.75,0.75,38437,0.375,0.45
1804,0,38796,0.3125,0.3125,38381,0.75,0.75
1805,0,12012,0.375,0.375,11961,0.1875,0.225
1806,0,12012,0.375,0.375,12012,0.375,0.375
1807,0,43391,0.125,0.125,43391,0.125,0.125
1808,0,27305,1.0,1.0,27305,1.0,1.0
1809,0,67406,0.1875,0.1875,67406,0.1875,0.1875
1810,0,562,0.5625,0.5625,562,0.5625,0.5625
1811,0,44481,0.0625,0.0625,44651,0.3125,0.2891666666666667
1812,0,44481,0.0625,0.0625,44663,0.0625,0.0625
1813,0,44496,0.0,0.0,44496,0.0,0.0
1814,0,26858,0.25,0.25,26858,0.25,0.25
1815,0,74168,0.375,0.375,74168,0.375,0.375
1816,0,58839,0.4375,0.4375,58992,0.3125,0.3375
1817,0,59341,0.125,0.125,59341,0.125,0.125
1818,0,79005,0.1875,0.1875,79005,0.1875,0.1875
1819,0,26610,0.75,0.75,26561,0.5,0.55
1820,0,71937,-0.5625,-0.5625,71937,-0.5625,-0.5625
1821,0,18491,0.1875,0.1875,18491,0.1875,0.1875
1822,0,18491,0.1875,0.1875,18363,0.25,0.23942307692307693
1823,0,20393,0.6875,0.6875,20393,0.6875,0.6875
1824,0,71562,-0.9375,-0.9375,71765,0.5,0.5
1825,0,79943,-0.5625,-0.5625,79798,-0.125,-0.21250000000000002
1826,0,79943,-0.5625,-0.5625,79495,0.0,-0.1125
1827,0,79699,0.75,0.75,79905,0.0,0.15000000000000002
1828,0,53261,0.6875,0.6875,53256,0.1875,0.2875
1829,0,53256,0.2875,0.2875,53261,0.6875,0.6875
1830,0,70191,-0.5,-0.5,70177,0.4375,0.4375
1831,0,24305,-1.0,-1.0,24305,-1.0,-1.0
1832,0,60719,0.1875,0.1875,61250,0.3125,0.2951923076923077
1833,0,60719,0.1875,0.1875,61079,0.125,0.1375
1834,0,3294,0.125,0.125,3309,-0.5,-0.5
1835,0,61281,1.0,1.0,61281,1.0,1.0
1836,0,41172,0.0,0.0,41172,0.0,0.0
1837,0,21854,-0.0625,-0.0625,21854,-0.0625,-0.0625
1838,0,14125,0.5,0.5,14125,0.5,0.5
1839,0,79735,-0.0625,-0.0625,80141,0.5,0.5
1840,0,79866,0.1875,0.1875,79866,0.1875,0.1875
1841,0,80073,0.0625,0.0625,80073,0.0625,0.0625
1842,0,75317,0.25,0.25,75317,0.25,0.25
1843,0,26613,0.9375,0.9375,26512,-0.0625,-0.0625
1844,0,60813,0.0,0.0,61180,0.25,0.225
1845,0,60813,0.0,0.0,60813,0.0,0.0
1846,0,55587,0.0,0.0,55587,0.0,0.0
1847,0,61751,0.25,0.25,61751,0.25,0.25
1848,0,51129,0.875,0.875,51411,0.3125,0.425
1849,0,20307,0.0,0.0,20307,0.0,0.0
1850,0,20347,0.1875,0.1875,20337,0.4375,0.4182692307692308
1851,0,69246,0.375,0.375,69246,0.375,0.375
1852,0,12394,-0.375,-0.375,12394,-0.375,-0.375
1853,0,35088,-0.375,-0.375,34931,0.125,0.06499999999999999
1854,0,74862,-0.125,-0.125,74992,0.4375,0.4375
1855,0,38547,-0.5625,-0.5625,38547,-0.5625,-0.5625
1856,0,6199,0.5625,0.5625,6199,0.5625,0.5625
1857,0,75047,0.0,0.0,75047,0.0,0.0
1858,0,55182,0.0625,0.0625,55182,0.0625,0.0625
1859,0,73113,0.25,0.25,73057,1.0,1.0
1860,0,73113,0.25,0.25,72822,-0.375,-0.375
1861,0,80051,0.4375,0.4375,80051,0.4375,0.4375
1862,0,79745,0.4375,0.4375,79745,0.4375,0.4375
1863,0,80051,0.4375,0.4375,79825,0.4375,0.4375
1864,0,56563,0.5625,0.5625,56672,0.6875,0.6767857142857143
1865,0,57167,0.3125,0.3125,56563,0.5625,0.5488636363636363
1866,0,57167,0.3125,0.3125,57147,0.5,0.48295454545454547
1867,0,56563,0.5488636363636363,0.5488636363636363,57176,0.25,0.3097727272727273
1868,0,56672,0.6767857142857143,0.6767857142857143,57167,0.3125,0.38535714285714284
1869,0,56672,0.6767857142857143,0.6767857142857143,57019,0.5,0.5353571428571429
1870,0,42431,0.1875,0.1875,42431,0.1875,0.1875
1871,0,55343,-0.3125,-0.3125,55343,-0.3125,-0.3125
1872,0,23579,-0.125,-0.125,23634,-0.0625,-0.075
1873,0,59175,0.125,0.125,59322,-0.5625,-0.5625
1874,0,59322,-0.5625,-0.5625,59175,0.125,0.06607142857142856
1875,0,10577,-0.375,-0.375,10577,-0.375,-0.375
1876,0,50804,0.4375,0.4375,50804,0.4375,0.4375
1877,0,3113,-0.1875,-0.1875,3100,0.25,0.21634615384615385
1878,0,3100,0.21634615384615385,0.21634615384615385,3382,0.25,0.24361219990200883
1879,0,3100,0.21634615384615385,0.21634615384615385,2895,0.1875,0.19326923076923078
1880,0,2895,0.19326923076923078,0.19326923076923078,2896,0.375,0.3548852617970265
1881,0,58795,0.6875,0.6875,58795,0.6875,0.6875
1882,0,33401,-0.125,-0.125,33401,-0.125,-0.125
1883,0,57357,0.5,0.5,57385,0.0,0.1
1884,0,70215,0.5,0.5,70215,0.5,0.5
1885,0,47751,0.875,0.875,47671,0.25,0.375
1886,0,1050,-0.125,-0.125,976,0.0,-0.025
1887,0,1046,0.625,0.625,1046,0.625,0.625
1888,0,37939,0.125,0.125,38179,0.375,0.3535714285714286
1889,0,64744,0.375,0.375,64744,0.375,0.375
1890,0,12316,0.625,0.625,12316,0.625,0.625
1891,0,22074,0.5,0.5,22074,0.5,0.5
1892,0,37972,-0.8125,-0.8125,38134,0.25,0.25
1893,0,37972,-0.8125,-0.8125,37972,-0.8125,-0.8125
1894,0,66362,0.25,0.25,66362,0.25,0.25
1895,0,66146,0.4375,0.4375,66146,0.4375,0.4375
1896,0,11535,-0.625,-0.625,11416,1.0,1.0
1897,0,17366,0.4375,0.4375,16749,0.1875,0.2375
1898,0,17347,0.4375,0.4375,16722,0.0625,0.1375
1899,0,17366,0.4375,0.4375,17229,0.1875,0.2375
1900,0,17253,0.0625,0.0625,17253,0.0625,0.0625
1901,0,17229,0.2375,0.2375,16844,0.4375,0.41848360655737704
1902,0,17347,0.4375,0.4375,16901,0.5625,0.5486111111111112
1903,0,16844,0.41848360655737704,0.41848360655737704,16986,0.25,0.2836967213114754
1904,0,862,0.375,0.375,566,0.125,0.175
1905,0,862,0.375,0.375,588,0.875,0.875
1906,0,617,0.1875,0.1875,579,0.0625,0.0875
1907,0,617,0.1875,0.1875,862,0.375,0.3548076923076923
1908,0,711,0.1875,0.1875,824,0.25,0.23942307692307693
1909,0,815,1.0,1.0,815,1.0,1.0
1910,0,711,0.1875,0.1875,647,0.0,0.037500000000000006
1911,0,588,0.875,0.875,695,0.375,0.475
1912,0,663,0.0625,0.0625,617,0.1875,0.16916666666666666
1913,0,663,0.0625,0.0625,641,0.0,0.0125
1914,0,641,0.0125,0.0125,711,0.1875,0.16490506329113924
1915,0,71857,0.125,0.125,71861,-0.125,-0.08928571428571429
1916,0,72268,0.0625,0.0625,72268,0.0625,0.0625
1917,0,21421,0.625,0.625,21421,0.625,0.625
1918,0,22039,0.375,0.375,22039,0.375,0.375
1919,0,21358,0.9375,0.9375,21358,0.9375,0.9375
1920,0,21256,0.625,0.625,21256,0.625,0.625
1921,0,75635,0.125,0.125,75819,0.0,0.025
1922,0,75635,0.125,0.125,75635,0.125,0.125
1923,0,62379,-0.125,-0.125,62464,0.3125,0.2875
1924,0,62379,-0.125,-0.125,62379,-0.125,-0.125
1925,0,34262,0.25,0.25,34262,0.25,0.25
1926,0,50426,0.5,0.5,50093,-0.0625,0.021875000000000006
1927,0,50651,0.375,0.375,50651,0.375,0.375
