,nodes
1386,54181
1387,75468
1388,6189
1389,62840
1390,30194
1391,76689
1392,25518
1393,61457
1394,76042
1395,74862
1396,28749
1397,5952
1398,56923
1399,34074
1400,29386
1401,57416
1402,80247
1403,53620
1404,34885
1405,9770
1406,43496
1407,71360
1408,21509
1409,10902
1410,75635
1411,58591
1412,32988
1413,14433
1414,24867
1415,23904
1416,16768
1417,56969
1418,11907
1419,70665
1420,73978
1421,38882
1422,30715
1423,46558
1424,74845
1425,61781
1426,21471
1427,9964
1428,25113
1429,74401
1430,13833
1431,78539
1432,33452
1433,68565
1434,5486
1435,65874
1436,61281
1437,4982
1438,13817
1439,70227
1440,59719
1441,56718
1442,31354
1443,8438
1444,62864
1445,14784
1446,6519
1447,261
1448,20569
1449,72624
1450,52841
1451,68407
1452,4361
1453,57598
1454,4859
1455,59410
1456,62351
1457,25790
1458,67564
1459,78602
1460,71150
1461,48137
1462,30584
1463,33005
1464,65307
1465,5596
1466,62594
1467,39675
1468,36168
1469,28159
1470,52707
1471,4806
1472,64308
1473,29472
1474,8339
1475,55481
1476,73661
1477,21905
1478,75144
1479,16194
1480,71275
1481,35204
1482,49130
1483,9000
1484,67420
1485,57350
1486,2633
1487,30134
1488,3257
1489,51528
1490,36267
1491,24565
1492,44496
1493,68795
1494,41065
1495,36021
1496,78796
1497,26610
1498,48780
1499,60597
1500,60977
1501,53392
1502,27963
1503,6900
1504,14775
1505,78414
1506,21890
1507,53611
1508,61697
1509,54522
1510,16178
1511,18720
1512,31460
1513,3935
1514,37647
1515,46412
1516,74100
1517,3567
1518,24078
1519,79321
1520,70167
1521,38179
1522,66901
1523,6704
1524,36527
1525,61807
1526,53122
1527,68296
1528,10912
1529,23786
1530,6331
1531,17800
1532,57501
1533,69368
1534,13787
1535,17930
1536,35405
1537,57320
1538,68834
1539,59694
1540,60057
1541,72985
1542,69403
1543,9811
1544,52441
1545,26803
1546,39937
1547,3407
1548,21581
1549,30113
1550,73059
1551,23374
1552,20333
1553,11413
1554,71765
1555,41943
1556,22050
1557,71673
1558,57714
1559,21256
1560,44917
1561,72551
1562,56720
1563,66885
1564,48265
1565,51142
1566,23100
1567,50118
1568,78133
1569,10862
1570,34306
1571,75888
1572,18491
1573,70670
1574,51542
1575,76203
1576,75819
1577,57167
1578,65616
1579,35017
1580,68933
1581,9885
1582,79382
1583,3354
1584,14694
