,timestep,first_agent,agent1_initial_attitude,agent1_final_attitude,second_agent,agent2_initial_attitude,agent2_final_attitude
20659,8,34885,0.1607142857142857,0.1607142857142857,34824,0.138174208997322,0.14228701069745747
20660,8,34748,0.6485437317784256,0.6485437317784256,34885,0.1607142857142857,0.2359726595792394
20661,8,61753,0.625,0.625,61753,0.625,0.625
20662,8,20456,0.5875,0.5875,20487,0.4457417184008707,0.5119366143514987
20663,8,66743,0.3125,0.3125,66743,0.3125,0.3125
20664,8,71789,0.0,0.0,71789,0.0,0.0
20665,8,50681,0.4601,0.4601,50681,0.4601,0.4601
20666,8,50681,0.4601,0.4601,50609,0.5378105991601314,0.5267425946989713
20667,8,64648,1.0,1.0,64607,0.3125,0.3125
20668,8,21798,0.3811422080883233,0.3811422080883233,21682,0.18975267862394987,0.22803058451682456
20669,8,6210,-0.9375,-0.9375,6447,0.323401845969743,0.323401845969743
20670,8,6410,0.3727841681643964,0.3727841681643964,6481,-0.6105,-0.6105
20671,8,6413,0.6014529265265453,0.6014529265265453,6383,0.22194565003531574,0.2978471053335616
20672,8,6391,0.0680996168996138,0.0680996168996138,6391,0.0680996168996138,0.0680996168996138
20673,8,6481,-0.6105,-0.6105,6413,0.6014529265265453,0.6014529265265453
20674,8,6481,-0.6105,-0.6105,6410,0.3727841681643964,0.3727841681643964
20675,8,6210,-0.9375,-0.9375,6310,0.3030782944797939,0.3030782944797939
20676,8,6383,0.2978471053335616,0.2978471053335616,6210,-0.9375,-0.9375
20677,8,48170,0.625,0.625,48773,0.3316279309595226,0.4681990456817195
20678,8,48568,0.13553418295479552,0.13553418295479552,48773,0.4681990456817195,0.45142318393096825
20679,8,48407,0.43896866033984216,0.43896866033984216,48407,0.43896866033984216,0.43896866033984216
20680,8,5405,0.6875,0.6875,5405,0.6875,0.6875
20681,8,5405,0.6875,0.6875,5401,0.4973071145249564,0.5921434928199503
20682,8,5401,0.5921434928199503,0.5921434928199503,5365,-0.4036690416316987,-0.4036690416316987
20683,8,5322,0.604098075317901,0.604098075317901,5358,-0.27223358465328895,-0.27223358465328895
20684,8,5322,0.604098075317901,0.604098075317901,5401,0.5921434928199503,0.5981207840689257
20685,8,26839,-0.5625,-0.5625,26850,0.45200901782456593,0.45200901782456593
20686,8,26895,1.0,1.0,26839,-0.5625,-0.5625
20687,8,26895,1.0,1.0,26507,0.625,0.625
20688,8,26689,0.4890328092117374,0.4890328092117374,26839,-0.5625,-0.5625
20689,8,10509,0.3125,0.3125,10681,0.4323317288324394,0.4167200845844803
20690,8,16933,0.46025744395513757,0.46025744395513757,16998,0.3218728850893152,0.34954979686247967
20691,8,17093,0.20811118921315153,0.20811118921315153,16830,0.261876173109661,0.2525833174279557
20692,8,16830,0.2525833174279557,0.2525833174279557,17248,0.22530840346741776,0.23076338625952536
20693,8,17248,0.23076338625952536,0.23076338625952536,17093,0.20811118921315153,0.2126416286224263
20694,8,23786,0.044639913039017515,0.044639913039017515,23786,0.044639913039017515,0.044639913039017515
20695,8,23747,0.21146991485290173,0.21146991485290173,23747,0.21146991485290173,0.21146991485290173
20696,8,17603,0.4855769230769231,0.4855769230769231,17785,0.24711538461538463,0.2948076923076923
20697,8,77340,0.5991831648351648,0.5991831648351648,77463,0.17589541864554153,0.23649164253213237
20698,8,77316,0.18821138611120536,0.18821138611120536,77207,0.4842773679120879,0.46690607667549244
20699,8,77340,0.5991831648351648,0.5991831648351648,77221,-0.0625,0.028565714009559012
20700,8,77207,0.46690607667549244,0.46690607667549244,77340,0.5991831648351648,0.5857634375271137
20701,8,21452,0.125,0.125,21452,0.125,0.125
20702,8,47169,0.45354222876993017,0.45354222876993017,47218,0.4689944189062071,0.46607875755343847
20703,8,34303,0.1668727872252938,0.1668727872252938,34244,0.19460554337413713,0.18918354411476468
20704,8,10301,0.186,0.186,10470,0.25,0.2392127764127764
20705,8,10301,0.186,0.186,10301,0.186,0.186
20706,8,2389,0.125,0.125,2389,0.125,0.125
20707,8,69805,0.75,0.75,69805,0.75,0.75
20708,8,69368,0.43,0.43,69368,0.43,0.43
20709,8,38516,0.22290203616810722,0.22290203616810722,38999,-0.17590092662464146,-0.1385611725674244
20710,8,38516,0.22290203616810722,0.22290203616810722,38764,0.09753562404095192,0.12011980632235213
20711,8,38999,-0.1385611725674244,-0.1385611725674244,38516,0.22290203616810722,0.18604559845671254
20712,8,43775,0.0862400887782833,0.0862400887782833,44005,0.2038386631611677,0.18506319250256825
20713,8,43373,-0.1856817009402263,-0.1856817009402263,43962,0.36064639896705974,0.3480114874193517
20714,8,73114,0.3125,0.3125,73114,0.3125,0.3125
20715,8,76574,0.5,0.5,76574,0.5,0.5
20716,8,20397,-0.4375,-0.4375,20397,-0.4375,-0.4375
20717,8,17920,0.25,0.25,17920,0.25,0.25
20718,8,69562,0.4375,0.4375,69562,0.4375,0.4375
20719,8,67093,0.59375,0.59375,67093,0.59375,0.59375
20720,8,67093,0.59375,0.59375,66508,0.9375,0.9375
20721,8,1543,0.7012802171860245,0.7012802171860245,1767,0.9375,0.9375
20722,8,1382,0.6735431834593224,0.6735431834593224,1504,0.23251125451237048,0.40686795615697435
20723,8,1269,0.5758042709033895,0.5758042709033895,1349,0.4869755278285667,0.4869755278285667
20724,8,1704,0.5788721167387246,0.5788721167387246,1382,0.6735431834593224,0.6735431834593224
20725,8,1283,0.7533884275028905,0.7533884275028905,1631,0.6875,0.6875
20726,8,1631,0.6875,0.6875,1704,0.5788721167387246,0.5788721167387246
20727,8,1283,0.7533884275028905,0.7533884275028905,1269,0.5758042709033895,0.5758042709033895
20728,8,1543,0.7012802171860245,0.7012802171860245,1206,0.625,0.625
20729,8,6502,0.400424487386975,0.400424487386975,6620,0.24860747504896663,0.2789708775165683
