,timestep,case_id,attitude,subnorms,pbc,adoption_status,geoid
163,1,26214,0.0,0.5,1,0,360010137073003
164,1,47710,0.8449826276249881,0.25,1,0,360010130004006
165,1,65035,0.5025000000000001,0.0,1,0,360010136011017
166,1,45664,0.85,0.5,-1.0,0,360010014001003
167,1,56671,0.49,0.75,1,0,360010143021017
168,1,65125,0.0625,0.5,1,0,360010136011017
169,1,31905,0.47500000000000003,0.75,1,0,360010137051006
170,1,35134,0.6,0.25,1,0,360010004032013
171,1,55030,0.6957272727272727,0.75,1,0,360010137053019
172,1,31908,0.4375,-0.5,1,0,360010137051006
173,1,58931,0.44142857142857145,0.5,1,0,360010146063013
174,1,58896,0.4923633679300292,0.5,1,0,360010146063013
175,1,39675,0.5,0.0,1,0,360010137072000
176,1,27409,0.08619607290072054,0.5,1,0,360010127001007
177,1,1881,0.875,0.5,1,0,360010138017000
178,1,31920,0.32731390075477756,0.25,1,0,360010137051006
179,1,72923,0.43538461538461537,0.5,1,0,360010142012000
180,1,59240,0.2734838688281348,0.5,1,0,360010146063018
181,1,23933,-0.35000000000000003,0.25,1,0,360010135051016
182,1,70167,0.755,0.75,1,0,360010007001017
183,1,50218,0.625,0.75,1,0,360010146074013
184,1,62368,0.7808333333333333,0.0,1,0,360010146081003
185,1,41875,0.2670454545454546,0.5,1,0,360010148022010
186,1,9858,0.4599387951009599,0.0,1,0,360010016004008
187,1,26239,0.6875,0.75,1,0,360010137073003
188,1,59161,0.175,0.25,-1.0,0,360010146063013
189,1,45913,0.5401566863170959,0.0,1,0,360010023001000
190,1,27645,0.425,0.75,1,0,360010129001020
191,1,6128,0.6375,0.75,1,0,360010138021008
192,1,27578,0.7303571428571429,0.5,1,0,360010129001020
193,1,20231,0.7107142857142857,0.75,1,0,360010134001005
194,1,41846,0.579768345323741,1.0,1,0,360010148012032
195,1,18576,0.375,0.5,1,0,360010146061001
196,1,45743,0.5052528718245317,0.5,1,0,360010014001003
197,1,55491,0.3354999999999999,0.75,1,0,360010142014012
198,1,20312,0.28575714285714277,0.75,1,0,360010134001005
199,1,42141,0.0625,0.0,1,0,360010143012003
200,1,39992,0.2925,-0.25,1,0,360010137072000
201,1,42142,0.5,0.75,1,0,360010143012003
202,1,10002,0.5349999999999999,1.0,1,0,360010016004008
203,1,39765,0.1,-0.75,1,0,360010137072000
204,1,24831,0.09375,0.5,1,0,360010007003001
205,1,36056,-1.0,0.25,1,0,360010018014013
206,1,46696,0.4376010787217058,0.5,1,0,360010135031008
207,1,73018,0.3775,0.0,1,0,360010142012018
208,1,42642,0.1875,0.75,1,0,360010143012009
209,1,24865,0.8375,0.25,1,0,360010007003001
210,1,29295,0.15,0.0,1,0,360010018015029
211,1,11844,0.0,0.5,1,0,360010026002003
212,1,69856,0.48934638513234263,0.5,1,0,360010018012019
213,1,5486,0.04999999999999999,0.5,1,0,360010146071007
214,1,24863,0.875,0.75,1,0,360010007003002
215,1,24123,0.19569777468029845,0.0,1,0,360010004031008
216,1,44432,0.0625,0.25,1,0,360010148031000
217,1,49433,0.3655501730799955,0.25,1,0,360010130005012
218,1,57598,-0.125,1.0,1,0,360010148011037
219,1,72841,0.75,-0.25,1,0,360010142012003
220,1,27549,-0.6875,1.0,1,0,360010129001016
221,1,64376,0.5353314049586777,0.5,1,0,360010136014006
