,edges
2073,"(29933, 29933)"
2074,"(37647, 37647)"
2075,"(8412, 8412)"
2076,"(50702, 50702)"
2077,"(12208, 12208)"
2078,"(54747, 54747)"
2079,"(53392, 53449)"
2080,"(53392, 53449)"
2081,"(53449, 53207)"
2082,"(53449, 53353)"
2083,"(64267, 64267)"
2084,"(40688, 40688)"
2085,"(73706, 73706)"
2086,"(73706, 73818)"
2087,"(73794, 73794)"
2088,"(47804, 47847)"
2089,"(47804, 47850)"
2090,"(47804, 47715)"
2091,"(47619, 47640)"
2092,"(47619, 47619)"
2093,"(47640, 47820)"
2094,"(2343, 2823)"
2095,"(2343, 2633)"
2096,"(64270, 64270)"
2097,"(546, 546)"
2098,"(87, 261)"
2099,"(87, 233)"
2100,"(261, 506)"
2101,"(143, 143)"
2102,"(143, 441)"
2103,"(66462, 66604)"
2104,"(66462, 66462)"
2105,"(12721, 12721)"
2106,"(61984, 62054)"
2107,"(61984, 62105)"
2108,"(21527, 21527)"
2109,"(21527, 21541)"
2110,"(18428, 18428)"
2111,"(59292, 58990)"
2112,"(59292, 58990)"
2113,"(47502, 47517)"
2114,"(62406, 62406)"
2115,"(16719, 16719)"
2116,"(22472, 22472)"
2117,"(16767, 16767)"
2118,"(53295, 53295)"
2119,"(22752, 22752)"
2120,"(69403, 69569)"
2121,"(69569, 69539)"
2122,"(36181, 36181)"
2123,"(53168, 53168)"
2124,"(23904, 23904)"
2125,"(36647, 36647)"
2126,"(22263, 22564)"
2127,"(22263, 22164)"
2128,"(28587, 28583)"
2129,"(7017, 7017)"
2130,"(7079, 7079)"
2131,"(7090, 7090)"
2132,"(40152, 40152)"
2133,"(40152, 40214)"
2134,"(72930, 72930)"
2135,"(72825, 72825)"
2136,"(72770, 72794)"
2137,"(16163, 16163)"
2138,"(57255, 57503)"
2139,"(33353, 33353)"
2140,"(65653, 65653)"
2141,"(36293, 36293)"
2142,"(41372, 41372)"
2143,"(3009, 3245)"
2144,"(3009, 3008)"
2145,"(48419, 48419)"
2146,"(65874, 65874)"
2147,"(1986, 2021)"
2148,"(1986, 1986)"
2149,"(68771, 68771)"
2150,"(57269, 57269)"
2151,"(22597, 22597)"
2152,"(37259, 37196)"
2153,"(37259, 37286)"
2154,"(37259, 36955)"
2155,"(6761, 6761)"
2156,"(22403, 22403)"
2157,"(23343, 23343)"
2158,"(23343, 23192)"
2159,"(23343, 23475)"
2160,"(18111, 18111)"
2161,"(22351, 22351)"
2162,"(52238, 52023)"
2163,"(52238, 52238)"
2164,"(21884, 21890)"
2165,"(21884, 21940)"
2166,"(47544, 47544)"
2167,"(77410, 77410)"
2168,"(77410, 77400)"
2169,"(61781, 61781)"
2170,"(21509, 21509)"
2171,"(61853, 61853)"
2172,"(11945, 11945)"
2173,"(40252, 40252)"
2174,"(61889, 61889)"
2175,"(9472, 9545)"
2176,"(9472, 9513)"
2177,"(9472, 9502)"
2178,"(9513, 9665)"
2179,"(46140, 46140)"
2180,"(53315, 53315)"
2181,"(43661, 43661)"
2182,"(63721, 63682)"
2183,"(72100, 72100)"
2184,"(53575, 53575)"
2185,"(26112, 26112)"
2186,"(60554, 60554)"
2187,"(69033, 69033)"
2188,"(75148, 75148)"
2189,"(24561, 24561)"
2190,"(21720, 21720)"
2191,"(68831, 68831)"
2192,"(25211, 25106)"
2193,"(25211, 25229)"
2194,"(25211, 25211)"
2195,"(66810, 66686)"
2196,"(66810, 66686)"
2197,"(51782, 51542)"
2198,"(51782, 51782)"
2199,"(51542, 51484)"
2200,"(51484, 51468)"
2201,"(51710, 51744)"
2202,"(42701, 42701)"
2203,"(39301, 39301)"
2204,"(71360, 71360)"
2205,"(31018, 31018)"
2206,"(25080, 25125)"
2207,"(25080, 25027)"
2208,"(25102, 25113)"
2209,"(15597, 15547)"
2210,"(15597, 15597)"
2211,"(66995, 66995)"
2212,"(66756, 67039)"
2213,"(66756, 66855)"
2214,"(67039, 67016)"
2215,"(66634, 67065)"
2216,"(66812, 66855)"
2217,"(28933, 28933)"
2218,"(29386, 29386)"
2219,"(58823, 58823)"
2220,"(70388, 70442)"
2221,"(70246, 70246)"
2222,"(70479, 70345)"
2223,"(71673, 71673)"
2224,"(71751, 71751)"
2225,"(35643, 35643)"
2226,"(20168, 20168)"
2227,"(20168, 20138)"
2228,"(48060, 48060)"
2229,"(61754, 61807)"
2230,"(3599, 3599)"
2231,"(68923, 68923)"
2232,"(23840, 23840)"
2233,"(23744, 23744)"
2234,"(23886, 23819)"
2235,"(28751, 28802)"
2236,"(43382, 43821)"
2237,"(43382, 43821)"
2238,"(43382, 43444)"
2239,"(31664, 31664)"
2240,"(53367, 53367)"
2241,"(53367, 53448)"
2242,"(15335, 15335)"
2243,"(48495, 48495)"
2244,"(38230, 38230)"
2245,"(38230, 38150)"
2246,"(11155, 11155)"
2247,"(20065, 20065)"
2248,"(20179, 20161)"
2249,"(19977, 19977)"
2250,"(43861, 43861)"
2251,"(67384, 67210)"
2252,"(67384, 67384)"
2253,"(63708, 63708)"
2254,"(63708, 63712)"
2255,"(43963, 43863)"
2256,"(43863, 43754)"
2257,"(80279, 80292)"
2258,"(12347, 12347)"
2259,"(17628, 17628)"
2260,"(52691, 52691)"
2261,"(17681, 17681)"
2262,"(14964, 14964)"
2263,"(15299, 15299)"
2264,"(16474, 16474)"
2265,"(15333, 15548)"
2266,"(15333, 15548)"
2267,"(15449, 15449)"
2268,"(68795, 68961)"
2269,"(15455, 15455)"
2270,"(3203, 3203)"
2271,"(39781, 39576)"
2272,"(45146, 45146)"
2273,"(68967, 68967)"
2274,"(30825, 30825)"
2275,"(22854, 23031)"
2276,"(23137, 23137)"
2277,"(4423, 4423)"
2278,"(70404, 70404)"
2279,"(76090, 76090)"
2280,"(4143, 4143)"
2281,"(4361, 4361)"
2282,"(62840, 62840)"
2283,"(42225, 42466)"
2284,"(42290, 42290)"
2285,"(56909, 57028)"
2286,"(56909, 56923)"
2287,"(51422, 51132)"
2288,"(51422, 51298)"
2289,"(50888, 50927)"
2290,"(50888, 51197)"
2291,"(68870, 68933)"
2292,"(68870, 68933)"
2293,"(69068, 69068)"
2294,"(57191, 57191)"
2295,"(40337, 40337)"
2296,"(40337, 40273)"
2297,"(31693, 31540)"
2298,"(76753, 76911)"
2299,"(76753, 76753)"
2300,"(23476, 23476)"
2301,"(2384, 2384)"
2302,"(47998, 48003)"
2303,"(48137, 47953)"
2304,"(48137, 48071)"
2305,"(47953, 48071)"
2306,"(2302, 2302)"
2307,"(64229, 64229)"
2308,"(3242, 3333)"
2309,"(3242, 3138)"
2310,"(23967, 23967)"
2311,"(23911, 23911)"
2312,"(22152, 22152)"
2313,"(39585, 39585)"
2314,"(14230, 14230)"
2315,"(14271, 14219)"
2316,"(20127, 19994)"
2317,"(69323, 69323)"
2318,"(69312, 69312)"
2319,"(69312, 69330)"
2320,"(57231, 57437)"
2321,"(969, 969)"
2322,"(23013, 22979)"
2323,"(48007, 48007)"
2324,"(15077, 15008)"
2325,"(25180, 25066)"
2326,"(48065, 48150)"
2327,"(48065, 47970)"
2328,"(7361, 7361)"
2329,"(8214, 8285)"
2330,"(31468, 31468)"
2331,"(15792, 15792)"
2332,"(16066, 15726)"
2333,"(16066, 15778)"
2334,"(16074, 15778)"
2335,"(16074, 15764)"
2336,"(7210, 7210)"
2337,"(15507, 15507)"
2338,"(15633, 15633)"
2339,"(78796, 78796)"
2340,"(2299, 2299)"
2341,"(36588, 36588)"
2342,"(10901, 10901)"
2343,"(31075, 31075)"
2344,"(30902, 30902)"
2345,"(59800, 59974)"
2346,"(59800, 59974)"
2347,"(36168, 36168)"
2348,"(48423, 48423)"
2349,"(71288, 71436)"
2350,"(65348, 65348)"
2351,"(7340, 7340)"
2352,"(5090, 5090)"
2353,"(6794, 6794)"
2354,"(10862, 10862)"
2355,"(10862, 10905)"
2356,"(25097, 25097)"
2357,"(14433, 14433)"
2358,"(12709, 12709)"
2359,"(15064, 15039)"
2360,"(15064, 15064)"
2361,"(15064, 14912)"
2362,"(16464, 16464)"
2363,"(33896, 33896)"
2364,"(14042, 14008)"
2365,"(14042, 14104)"
2366,"(14104, 14104)"
2367,"(14216, 14252)"
2368,"(14216, 14216)"
2369,"(34541, 34541)"
2370,"(35985, 35985)"
2371,"(9314, 9314)"
2372,"(10186, 10194)"
2373,"(10166, 10166)"
2374,"(13775, 13780)"
2375,"(13775, 13775)"
2376,"(12813, 12813)"
2377,"(61322, 61322)"
2378,"(20424, 20424)"
2379,"(8356, 8356)"
2380,"(52179, 52179)"
2381,"(62594, 62594)"
2382,"(57946, 58440)"
2383,"(58172, 58172)"
2384,"(52320, 52542)"
2385,"(52320, 52320)"
2386,"(65320, 65384)"
2387,"(19743, 19743)"
2388,"(64223, 64223)"
2389,"(30868, 30868)"
2390,"(15206, 15206)"
2391,"(2788, 2788)"
2392,"(7219, 7445)"
2393,"(7219, 7219)"
2394,"(7445, 7264)"
2395,"(41065, 41065)"
2396,"(47534, 47534)"
2397,"(65406, 65406)"
2398,"(5503, 5503)"
2399,"(63744, 63744)"
2400,"(45157, 45157)"
2401,"(64847, 64847)"
2402,"(11360, 11360)"
2403,"(11360, 11294)"
2404,"(2425, 2425)"
