,edges
1001,"(30715, 30374)"
1002,"(30715, 30320)"
1003,"(30320, 30083)"
1004,"(3898, 3704)"
1005,"(70700, 70665)"
1006,"(70700, 70549)"
1007,"(70549, 70930)"
1008,"(16627, 16627)"
1009,"(13175, 13175)"
1010,"(62283, 62283)"
1011,"(38947, 38947)"
1012,"(39225, 39225)"
1013,"(9336, 9286)"
1014,"(9336, 9286)"
1015,"(9286, 9363)"
1016,"(35648, 35648)"
1017,"(486, 486)"
1018,"(67934, 67976)"
1019,"(67934, 68106)"
1020,"(19064, 19064)"
1021,"(37068, 37068)"
1022,"(16502, 16502)"
1023,"(38103, 38103)"
1024,"(57174, 56868)"
1025,"(57174, 57174)"
1026,"(19494, 19494)"
1027,"(10454, 10652)"
1028,"(9873, 9873)"
1029,"(16528, 16528)"
1030,"(19693, 19693)"
1031,"(65616, 65616)"
1032,"(23671, 23671)"
1033,"(75414, 75414)"
1034,"(75706, 75810)"
1035,"(75706, 75810)"
1036,"(44274, 44274)"
1037,"(19531, 19606)"
1038,"(19531, 19606)"
1039,"(54587, 54748)"
1040,"(54587, 54530)"
1041,"(54748, 54584)"
1042,"(54530, 54694)"
1043,"(44259, 44259)"
1044,"(66959, 66959)"
1045,"(75632, 75632)"
1046,"(77458, 77458)"
1047,"(13817, 13817)"
1048,"(47069, 47069)"
1049,"(65621, 65621)"
1050,"(20884, 20884)"
1051,"(20849, 20849)"
1052,"(6519, 6519)"
1053,"(72416, 72399)"
1054,"(72416, 72416)"
1055,"(70162, 70162)"
1056,"(62299, 62299)"
1057,"(6924, 6924)"
1058,"(16065, 15739)"
1059,"(16065, 16072)"
1060,"(15767, 15732)"
1061,"(15794, 15796)"
1062,"(15881, 15881)"
1063,"(16072, 16006)"
1064,"(16006, 16006)"
1065,"(24158, 24078)"
1066,"(24158, 24223)"
1067,"(24158, 24251)"
1068,"(24251, 24268)"
1069,"(24103, 24178)"
