,timestep,case_id,attitude,pbc,subnorms
43,1,28861,0.1875,-0.1666666666666666,0.0
44,1,60302,0.6875,0.0,0.0
45,1,1293,0.375,0.0,0.75
46,1,60302,0.6875,0.0,0.0
47,1,60481,0.9375,-0.6666666666666666,1.0
48,1,60318,-0.4375,-0.3333333333333333,0.75
49,1,71275,0.125,-0.3333333333333333,0.75
50,1,60318,-0.4375,-0.3333333333333333,0.75
51,1,60317,-0.5,-0.5,1.0
52,1,60318,-0.45,-0.3333333333333333,0.75
53,1,20901,0.25,-0.3333333333333333,0.0
54,1,60318,-0.45,-0.3333333333333333,0.75
55,1,12064,0.0,0.1666666666666666,0.5
56,1,35168,0.0,-0.3333333333333333,0.5
57,1,21142,0.3125,-0.3333333333333333,0.25
58,1,35168,0.0625,-0.3333333333333333,0.5
59,1,7792,0.4375,-0.1666666666666666,0.5
60,1,35168,0.1375,-0.3333333333333333,0.5
61,1,35242,0.8125,-0.5,1.0
62,1,35168,0.2725,-0.3333333333333333,0.5
63,1,37618,0.25,-0.3333333333333333,0.5
64,1,35168,0.26827,-0.3333333333333333,0.5
65,1,78571,0.125,-0.6666666666666666,0.5
66,1,35168,0.2489994481828572,-0.3333333333333333,0.5
67,1,40732,-0.6875,-0.3333333333333333,0.5
68,1,35168,0.2489994481828572,-0.3333333333333333,0.5
69,1,18854,0.0,-0.3333333333333333,0.0
70,1,35168,0.22399984862443267,-0.3333333333333333,0.5
71,1,35264,0.6875,-0.1666666666666666,0.25
72,1,59562,0.5375,0.0,0.75
73,1,13324,0.875,0.0,0.0
74,1,59562,0.605,0.0,0.75
75,1,59959,0.1875,0.0,0.75
76,1,59562,0.605,0.0,0.75
77,1,39593,0.5625,-0.3333333333333333,0.75
78,1,39593,0.5625,-0.3333333333333333,0.75
79,1,39739,0.3125,0.5,0.0
80,1,39593,0.5488636363636363,-0.3333333333333333,0.75
81,1,35727,0.0,-0.6666666666666666,1.0
82,1,39593,0.5488636363636363,-0.3333333333333333,0.75
83,1,72286,0.5,-0.1666666666666666,0.5
84,1,39593,0.5410010330578512,-0.3333333333333333,0.75
85,1,69906,0.0,-0.5,0.5
86,1,49993,0.5,-0.5,0.5
87,1,42396,-1.0,-0.5,0.0
88,1,49993,0.5,-0.5,0.5
89,1,21754,0.5,-0.5,0.5
90,1,49993,0.5,-0.5,0.5
91,1,44251,0.5625,-0.5,0.25
92,1,49993,0.5125,-0.5,0.5
93,1,48500,0.5,-0.1666666666666666,1.0
94,1,48500,0.5,-0.1666666666666666,1.0
95,1,60161,0.5625,-0.5,0.25
96,1,48500,0.5125,-0.1666666666666666,1.0
97,1,47022,0.0,-0.3333333333333333,1.0
98,1,48500,0.5125,-0.1666666666666666,1.0
99,1,55491,-0.375,0.0,0.75
100,1,64680,0.4375,-0.3333333333333333,0.0
101,1,64680,0.4375,-0.3333333333333333,0.0
102,1,64680,0.4375,-0.3333333333333333,0.0
103,1,33139,0.375,-0.1666666666666666,1.0
104,1,64680,0.4275,-0.3333333333333333,0.0
105,1,33205,0.5,-0.5,0.5
106,1,64680,0.442,-0.3333333333333333,0.0
107,1,55955,0.375,-0.1666666666666666,0.25
108,1,56234,0.225,-0.3333333333333333,0.0
109,1,56167,0.5,-0.5,0.0
110,1,56234,0.28,-0.3333333333333333,0.0
111,1,55778,-0.0625,-0.3333333333333333,0.25
112,1,56234,0.2524173333333334,-0.3333333333333333,0.0
113,1,51491,0.3125,-0.8333333333333334,0.0
114,1,56234,0.2642579154876768,-0.3333333333333333,0.0
115,1,48391,-0.875,-0.6666666666666666,0.75
116,1,56234,0.2642579154876768,-0.3333333333333333,0.0
117,1,39793,0.5625,-0.3333333333333333,0.0
118,1,65572,0.3125,0.1666666666666666,0.25
119,1,65534,0.5,0.0,0.5
