,timestep,case_id,attitude,subnorms,pbc,adoption_status,geoid
186,4,67773,0.1875,0.0,1,0,360010137061011
187,4,68058,0.0,0.0,1,0,360010137061012
188,4,27573,0.25,0.0,1,0,360010129001019
189,4,77924,0.3125,0.5,1,0,360010135082021
190,4,31635,0.625,1.0,1,0,360010018023001
191,4,59832,0.625,0.75,1,0,360010135081019
192,4,40688,0.25,1.0,1,0,360010146121026
193,4,28751,0.0,0.25,1,0,360010026004024
194,4,76090,0.1875,0.5,1,0,360010142032006
195,4,47998,0.25,0.75,1,0,360010130003015
196,4,10901,0.75,0.0,1,0,360010146091001
197,4,58440,0.125,0.5,1,0,360010148011092
198,4,52320,0.125,1.0,1,0,360010135083017
199,4,65655,-0.0625,0.5,1,0,360010142021013
200,5,7093,-0.3125,0.0,1,0,360010003003028
201,5,18854,0.0,0.0,1,0,360010002003000
202,5,67886,0.625,0.25,1,0,360010137061001
203,5,7162,0.3125,0.5,1,0,360010003003023
204,5,45565,0.125,0.5,-0.8333333333333334,0,360010005022000
205,5,73606,0.0,0.0,1,0,360010021003000
206,5,63099,0.4375,0.75,-0.8333333333333334,0,360010137052014
207,5,31390,-0.75,0.5,1,0,360010018024005
208,5,19130,0.0,0.25,1,0,360010002001030
209,5,45605,0.9375,0.5,1,0,360010005022019
210,5,75888,-0.3125,0.5,1,0,360010139022010
211,5,14078,-0.25,0.0,1,0,360010140011009
212,5,56130,0.1875,0.5,1,0,360010135052000
213,5,78278,0.6875,0.5,1,0,360010146141000
214,5,35066,-0.0625,0.75,1,0,360010004032000
215,5,13519,-0.4375,0.0,1,0,360010139023000
216,5,13055,0.4375,0.75,1,0,360010139021015
217,5,54169,0.8125,0.75,1,0,360010141004003
218,5,38164,1.0,0.5,1,0,360010145031015
219,5,22961,0.4375,0.0,1,0,360010142024013
220,5,39225,0.0625,0.25,1,0,360010137071009
221,5,20849,0.0,0.5,1,0,360010022001002
222,5,34665,0.8125,-1.0,1,0,360010004034012
223,5,25508,0.3125,0.0,1,0,360010019022013
224,5,53642,0.75,0.75,1,0,360010138023005
225,5,72534,0.5,0.5,1,0,360010020001004
226,5,25604,-0.125,0.5,1,0,360010019022012
227,5,5685,0.5,0.75,1,0,360010138021012
228,5,68356,0.1875,1.0,1,0,360010141003000
229,5,72339,0.1875,1.0,1,0,360010020003004
230,5,41801,0.8125,0.25,1,0,360010148012037
231,5,79345,0.25,0.0,1,0,360010146142017
232,5,6481,-0.39375,0.5,1,0,360010146112000
233,5,6383,0.60625,0.25,-0.8333333333333334,0,360010146112000
234,5,69805,0.75,-0.5,-0.8333333333333334,0,360010018012016
235,5,59215,0.125,-0.5,1,0,360010146063039
236,5,67773,0.1875,0.0,1,0,360010137061011
237,5,68058,0.0,0.0,1,0,360010137061012
238,5,27573,0.25,0.0,1,0,360010129001019
239,5,77924,0.3125,0.5,1,0,360010135082021
240,5,31635,0.625,1.0,1,0,360010018023001
241,5,59832,0.625,0.75,1,0,360010135081019
242,5,40688,0.25,1.0,1,0,360010146121026
243,5,28751,0.0,0.25,1,0,360010026004024
244,5,76090,0.1875,0.5,1,0,360010142032006
245,5,47998,0.25,0.75,1,0,360010130003015
246,5,10901,0.75,0.0,1,0,360010146091001
247,5,58440,0.125,0.5,1,0,360010148011092
248,5,52320,0.125,1.0,1,0,360010135083017
249,5,65655,-0.0625,0.5,1,0,360010142021013
250,6,7093,-0.3125,0.0,1,0,360010003003028
251,6,18854,0.0,0.0,1,0,360010002003000
252,6,67886,0.625,0.25,1,0,360010137061001
253,6,7162,0.3125,0.5,1,0,360010003003023
254,6,45565,0.125,0.5,-0.8333333333333334,0,360010005022000
255,6,73606,0.0,0.0,1,0,360010021003000
256,6,63099,0.4375,0.75,-0.8333333333333334,0,360010137052014
257,6,31390,-0.75,0.5,1,0,360010018024005
258,6,19130,0.0,0.25,1,0,360010002001030
259,6,45605,0.9375,0.5,1,0,360010005022019
260,6,75888,-0.3125,0.5,1,0,360010139022010
261,6,14078,-0.25,0.0,1,0,360010140011009
262,6,56130,0.1875,0.5,1,0,360010135052000
263,6,78278,0.6875,0.5,1,0,360010146141000
264,6,35066,-0.0625,0.75,1,0,360010004032000
265,6,13519,-0.4375,0.0,1,0,360010139023000
266,6,13055,0.4375,0.75,1,0,360010139021015
267,6,54169,0.8125,0.75,1,0,360010141004003
268,6,38164,1.0,0.5,1,0,360010145031015
269,6,22961,0.4375,0.0,1,0,360010142024013
270,6,39225,0.0625,0.25,1,0,360010137071009
271,6,20849,0.0,0.5,1,0,360010022001002
272,6,34665,0.8125,-1.0,1,0,360010004034012
273,6,25508,0.3125,0.0,1,0,360010019022013
274,6,53642,0.75,0.75,1,0,360010138023005
275,6,72534,0.5,0.5,1,0,360010020001004
276,6,25604,-0.125,0.5,1,0,360010019022012
277,6,5685,0.5,0.75,1,0,360010138021012
278,6,68356,0.1875,1.0,1,0,360010141003000
279,6,72339,0.1875,1.0,1,0,360010020003004
280,6,41801,0.8125,0.25,1,0,360010148012037
281,6,79345,0.25,0.0,1,0,360010146142017
282,6,6481,-0.39375,0.5,1,0,360010146112000
283,6,6383,0.60625,0.25,-0.8333333333333334,0,360010146112000
284,6,69805,0.75,-0.5,-0.8333333333333334,0,360010018012016
285,6,59215,0.125,-0.5,1,0,360010146063039
286,6,67773,0.1875,0.0,1,0,360010137061011
287,6,68058,0.0,0.0,1,0,360010137061012
288,6,27573,0.25,0.0,1,0,360010129001019
289,6,77924,0.3125,0.5,1,0,360010135082021
290,6,31635,0.625,1.0,1,0,360010018023001
291,6,59832,0.625,0.75,1,0,360010135081019
292,6,40688,0.25,1.0,1,0,360010146121026
293,6,28751,0.0,0.25,1,0,360010026004024
294,6,76090,0.1875,0.5,1,0,360010142032006
295,6,47998,0.25,0.75,1,0,360010130003015
296,6,10901,0.75,0.0,1,0,360010146091001
297,6,58440,0.125,0.5,1,0,360010148011092
298,6,52320,0.125,1.0,1,0,360010135083017
299,6,65655,-0.0625,0.5,1,0,360010142021013
300,7,7093,-0.3125,0.0,1,0,360010003003028
301,7,18854,0.0,0.0,1,0,360010002003000
302,7,67886,0.625,0.25,1,0,360010137061001
